message_body,content_offset_seconds,message_user_color,commenter_display_name,message_fragments
prerecorded LUL,20.913,#FF69B4,afrika93,"[{""text"": ""prerecorded ""}, {""text"": ""LUL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425618""}}]"
..,20.956,#FF69B4,Showiz,"[{""text"": ""..""}]"
HELP DID THEY WIN LAST GAME HELP,21.141,#8A2BE2,bobismvp,"[{""text"": ""HELP DID THEY WIN LAST GAME HELP""}]"
ye,21.404,,asenchouu,"[{""text"": ""ye""}]"
OMEGALUL,21.41,#008000,Therealdingus,"[{""text"": ""OMEGALUL""}]"
KEKW,21.667,#2297B2,RosarioVampi,"[{""text"": ""KEKW""}]"
PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou,22.071,#FF0000,GGGodar,"[{""text"": ""PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou""}]"
Yup,22.075,,thiccbeefcake69,"[{""text"": ""Yup""}]"
LULW,22.149,#FF4500,learning2read,"[{""text"": ""LULW""}]"
Pog,22.324,,hamsandwich00,"[{""text"": ""Pog""}]"
PogU,22.47,#FF69B4,DirtyThinker148,"[{""text"": ""PogU""}]"
KEKW,22.79,#0000FF,jake438899,"[{""text"": ""KEKW""}]"
ads peepoLeave,22.877,#FF4500,Gosufan911,"[{""text"": ""ads peepoLeave""}]"
KEKW,22.905,#505DFF,Receptorz,"[{""text"": ""KEKW""}]"
KEKW,22.908,#FF69B4,tylerkto,"[{""text"": ""KEKW""}]"
